Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,2nd phase - general contingent,6,female,19.0,9238,Social Service,daytime,Secondary education,138.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Specialists in Intellectual and Scientific Activities,123.0,yes,no,no,yes,no,no,0,6,11,5,10.8,0,0,6,12,5,11.33333333,0,15.5,2.8,-4.06,Graduate
single,Technological specialization diploma holders,1,female,19.0,9085,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,140.0,yes,no,no,yes,no,no,0,6,8,4,14.4,0,0,6,6,5,13.0,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,female,19.0,9670,Advertising and Marketing Management,daytime,Secondary education,119.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,115.5,yes,no,no,yes,no,no,0,6,8,4,11.0,0,0,6,9,4,11.0,0,10.8,1.4,1.74,Enrolled
single,1st phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,133.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,126.7,no,no,no,yes,no,no,0,7,12,4,12.45,0,0,7,11,5,11.7,0,16.2,0.3,-0.92,Enrolled
single,2nd phase - general contingent,1,female,19.0,171,Animation and Multimedia Design,daytime,Secondary education,158.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,151.4,yes,no,no,no,no,no,6,12,12,12,13.0,0,4,11,14,11,13.25,0,8.9,1.4,3.51,Graduate
married,Over 23 years old,2,male,33.0,9119,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",118.0,no,no,no,no,no,no,0,5,11,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,1,female,24.0,8014,Social Service (evening attendance),evening,Secondary education,127.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115.8,no,no,no,yes,no,no,0,6,12,1,12.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,female,20.0,9254,Tourism,daytime,Secondary education,116.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,119.9,yes,no,no,yes,no,no,0,6,6,6,12.33333333,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,Graduate
married,Over 23 years old,1,female,34.0,9003,Agronomy,daytime,Secondary education,150.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,120.0,no,no,yes,no,no,no,1,6,10,6,14.33333333,0,0,6,9,6,12.83333333,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,4,female,18.0,9070,Communication Design,daytime,Secondary education,125.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,128.9,no,no,no,yes,yes,no,0,6,9,5,11.6,0,0,6,8,4,11.2,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,1,female,19.0,9147,Management,daytime,Secondary education,118.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Armed Forces Professions,Armed Forces Professions,117.3,yes,no,no,yes,no,no,0,5,9,4,12.25,0,0,5,10,4,12.0,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,1,female,20.0,9853,Basic Education,daytime,Secondary education,125.0,Portuguese,Unknown,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,129.2,yes,no,yes,no,no,no,0,6,12,3,10.33333333,0,0,6,14,1,11.0,0,10.8,1.4,1.74,Dropout
married,Over 23 years old,1,male,25.0,9991,Management (evening attendance),evening,Secondary education,162.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",132.0,no,no,yes,yes,no,no,0,5,8,4,11.0,0,0,5,7,4,12.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,4,male,18.0,9119,Informatics Engineering,daytime,Secondary education,133.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,123.2,yes,no,no,yes,no,no,0,5,5,5,13.6,0,0,5,6,5,14.6,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,3,female,19.0,9500,Nursing,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",130.5,yes,no,no,yes,no,no,0,7,7,6,12.45,0,0,7,7,6,12.45,0,7.6,2.6,0.32,Graduate
single,Change of course,1,male,22.0,9130,Equinculture,daytime,Secondary education,120.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,120.0,yes,no,no,no,no,no,0,6,0,0,0.0,0,0,4,6,0,0.0,2,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,female,18.0,9147,Management,daytime,Secondary education,148.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,133.0,yes,no,no,yes,no,no,0,5,10,4,12.0,0,0,5,9,4,12.8,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,3,male,18.0,9500,Nursing,daytime,Secondary education,142.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,132.9,yes,no,no,yes,no,no,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,1,male,18.0,9130,Equinculture,daytime,Secondary education,148.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,141.7,no,no,no,no,no,no,0,6,8,5,11.6,0,0,6,11,4,13.0,0,8.9,1.4,3.51,Dropout
single,International student (bachelor),1,male,19.0,9147,Management,daytime,Secondary education,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",150.0,no,no,no,yes,no,no,0,5,5,5,10.6,0,0,5,8,5,11.6,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.0,yes,no,no,yes,no,no,0,7,7,7,14.20857143,0,0,8,9,8,15.12777778,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,1,female,18.0,9773,Journalism and Communication,daytime,Secondary education,141.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,133.7,yes,no,no,yes,yes,no,0,6,6,6,14.83333333,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,1,female,22.0,171,Animation and Multimedia Design,daytime,Secondary education,146.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,135.5,yes,no,yes,yes,no,no,12,17,19,12,11.83333333,0,10,17,22,11,11.25,0,11.1,0.6,2.02,Enrolled
single,2nd phase - general contingent,6,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",113.7,yes,no,no,yes,no,no,0,5,7,4,11.4,0,0,5,5,4,11.25,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,male,20.0,9670,Advertising and Marketing Management,daytime,Secondary education,141.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Administrative staff,140.7,yes,no,no,yes,no,no,0,5,5,5,12.6,0,0,5,6,4,14.5,1,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,1,male,25.0,9003,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,140.0,no,no,no,yes,no,no,0,6,16,3,11.25,0,0,6,14,4,11.2,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,female,18.0,9238,Social Service,daytime,Secondary education,157.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",137.8,no,no,no,yes,yes,no,0,6,6,6,13.83333333,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,female,18.0,9853,Basic Education,daytime,Secondary education,146.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,145.3,yes,no,no,yes,yes,no,0,6,8,5,12.8,0,0,6,7,5,13.4,0,9.4,-0.8,-3.12,Enrolled
single,Over 23 years old,1,female,24.0,9500,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Doctorate,Administrative staff,Intermediate Level Technicians and Professions,100.0,no,no,no,yes,no,no,0,8,11,7,12.61428571,0,0,8,11,7,12.61428571,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,1,male,25.0,9254,Tourism,daytime,11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",119.3,yes,no,no,yes,no,no,0,6,7,6,11.16666667,0,0,6,11,4,11.8,0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,2,female,18.0,9238,Social Service,daytime,Secondary education,118.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,110.7,yes,yes,no,yes,no,no,0,6,15,2,10.33333333,3,0,6,13,3,13.33333333,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,5,female,18.0,9500,Nursing,daytime,Secondary education,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",126.3,yes,no,no,yes,yes,no,0,8,8,8,13.435,0,0,8,8,8,13.435,0,9.4,-0.8,-3.12,Graduate
single,Change of course,1,male,33.0,9130,Equinculture,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",130.0,yes,no,no,yes,no,no,0,5,12,1,13.0,2,0,5,7,3,14.0,0,9.4,-0.8,-3.12,Enrolled
single,Short cycle diploma holders,1,female,21.0,9085,Veterinary Nursing,daytime,Professional higher technical course,140.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Intermediate Level Technicians and Professions,140.0,yes,no,yes,yes,no,no,7,9,10,8,13.25,0,4,9,14,5,12.2,0,8.9,1.4,3.51,Enrolled
single,3rd phase - general contingent,4,male,22.0,9254,Tourism,daytime,Secondary education,119.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113.1,yes,no,no,no,no,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,International student (bachelor),1,female,20.0,9238,Social Service,daytime,Secondary education,150.0,Santomean,Higher Education - Bachelor's Degree,Basic education 1st cycle (4th/5th year) or equiv.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,132.5,yes,no,no,no,no,yes,0,6,9,5,13.0,0,0,6,7,6,13.5,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,1,female,43.0,8014,Social Service (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,128.0,no,no,no,yes,yes,no,0,6,7,6,12.33333333,0,0,6,8,6,11.5,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,6,male,19.0,9500,Nursing,daytime,Secondary education,133.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,119.7,yes,yes,yes,yes,no,no,2,7,8,7,13.075,0,1,8,11,8,12.36111111,0,12.4,0.5,1.79,Graduate
married,Over 23 years old,1,female,32.0,9556,Oral Hygiene,daytime,Secondary education,100.0,Spanish,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,130.0,no,no,no,yes,no,yes,0,7,10,7,11.0,0,0,8,8,8,13.125,0,12.7,3.7,-1.7,Graduate
single,3rd phase - general contingent,4,female,21.0,9773,Journalism and Communication,daytime,Secondary education,114.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,111.6,yes,no,no,yes,yes,no,0,6,6,6,12.5,0,0,6,6,6,11.5,0,11.1,0.6,2.02,Graduate
single,Holders of other higher courses,1,female,32.0,9085,Veterinary Nursing,daytime,Higher education - degree,140.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Other Situation,140.0,yes,no,no,yes,no,no,0,5,8,1,14.0,2,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout
single,Change of course,1,male,35.0,9670,Advertising and Marketing Management,daytime,Secondary education,160.0,Portuguese,Unknown,Unknown,Unknown,Unknown,100.1,no,no,no,no,no,no,6,10,10,7,12.14285714,0,4,9,9,4,12.25,0,7.6,2.6,0.32,Dropout
single,3rd phase - general contingent,2,female,20.0,9773,Journalism and Communication,daytime,Secondary education,109.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,109.0,yes,no,no,no,no,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,1,female,25.0,9500,Nursing,daytime,Secondary education,123.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140.8,no,no,no,yes,no,no,0,8,8,7,12.08428571,0,0,8,8,7,12.08428571,0,10.8,1.4,1.74,Graduate
single,Change of course,1,male,19.0,9070,Communication Design,daytime,Secondary education,133.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Higher Education - Bachelor's Degree,Unskilled Workers,Specialists in Intellectual and Scientific Activities,128.8,no,no,no,yes,no,no,6,12,12,12,13.16666667,0,6,12,12,12,13.0,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,1,female,19.0,9254,Tourism,daytime,Secondary education,134.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,124.9,yes,no,no,yes,no,no,0,6,11,3,12.0,0,0,6,11,4,11.25,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,3,female,19.0,9238,Social Service,daytime,Secondary education,122.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",117.5,yes,no,no,yes,no,no,0,6,7,5,10.8,0,0,6,9,6,10.16666667,0,8.9,1.4,3.51,Graduate
